vc_ratio,observed_speed_kmh,period,source
0.10,32.8,overnight,"TomTom Traffic Index 2023 (Toronto, free-flow reference)"
0.18,31.4,overnight,"TomTom Traffic Index 2023 (Toronto)"
0.27,29.3,early_morning,"TomTom Traffic Index 2023 (Toronto)"
0.36,27.6,off_peak_midday,"TomTom Traffic Index 2023 (Toronto, midday avg)"
0.45,25.4,off_peak_midday,"HCM 6 urban-street LOS-C interpolation"
0.55,22.9,shoulder_peak,"HCM 6 urban-street LOS-D interpolation"
0.66,21.1,shoulder_peak,"TomTom Traffic Index 2023 (Toronto)"
0.78,19.4,am_peak,"TomTom Traffic Index 2023 (Toronto, downtown peak avg ~19 km/h)"
0.85,18.2,am_peak,"City of Toronto Cordon Count 2022 (peak-hour downtown)"
0.92,16.3,pm_peak,"HCM 6 urban-street LOS-E interpolation"
1.00,13.6,pm_peak,"HCM 6 urban-street LOS-F threshold"
1.08,11.4,pm_peak_oversat,"TTC King St Pilot data (surface ~11-12 km/h congested)"
1.18,9.7,pm_peak_oversat,"HCM 6 oversaturated urban-street interpolation"
1.28,8.1,gridlock,"TomTom Traffic Index 2023 (Toronto, worst-hour observation)"
